state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur APMC",Hen,Boiler/Firm(White),Local,01/03/2026,3000.0,3800.0,3400.0
Uttar Pradesh,Aligarh,Charra APMC,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,01/03/2026,1800.0,1900.0,1850.0
Uttar Pradesh,Aligarh,Charra APMC,Bottle gourd,Bottle Gourd,FAQ,01/03/2026,1500.0,1600.0,1550.0
Uttar Pradesh,Aligarh,Charra APMC,Cabbage,Cabbage,FAQ,01/03/2026,1700.0,1800.0,1750.0
Uttar Pradesh,Aligarh,Charra APMC,Tomato,Deshi,FAQ,01/03/2026,1200.0,1300.0,1250.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Chikoos(Sapota),Other,Local,01/03/2026,1000.0,2200.0,1600.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Grapes,Other,Local,01/03/2026,8000.0,10000.0,9000.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Lime,Other,Local,01/03/2026,8000.0,13000.0,10500.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Orange,Other,Local,01/03/2026,4000.0,5000.0,4500.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Potato,Other,Local,01/03/2026,700.0,1200.0,950.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Spinach,Other,Local,01/03/2026,300.0,400.0,350.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Peas Wet,Other,Local,01/03/2026,1800.0,2200.0,2000.0
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Brinjal,Other,Local,01/03/2026,600.0,1200.0,900.0
Maharashtra,Chattrapati Sambhajinagar,Paithan APMC,Arhar(Tur/Red Gram)(Whole),Other,Non-FAQ,01/03/2026,7400.0,7651.0,7600.0
Maharashtra,Chattrapati Sambhajinagar,Sillod APMC,Wheat,Other,Non-FAQ,01/03/2026,2000.0,2300.0,2200.0
Maharashtra,Gadchiroli,Armori(Desaiganj) APMC,Paddy(Common),Other,Non-FAQ,01/03/2026,1900.0,2300.0,2021.0
Maharashtra,Latur,Devani APMC,Soyabean,Yellow,FAQ,01/03/2026,5345.0,5345.0,5345.0
Maharashtra,Latur,Devani APMC,Soyabean,Yellow,Non-FAQ,01/03/2026,5241.0,5293.0,5267.0
Maharashtra,Pune,Junnar(Alephata) APMC,Onion,Other,Local,01/03/2026,400.0,1310.0,700.0
Maharashtra,Pune,Pune APMC,Cucumbar(Kheera),Other,Local,01/03/2026,1000.0,2000.0,1500.0
Maharashtra,Pune,Pune APMC,Bitter gourd,Other,Local,01/03/2026,2000.0,4000.0,3000.0
Maharashtra,Pune,Pune APMC,Garlic,Other,Local,01/03/2026,3000.0,11000.0,7000.0
Maharashtra,Pune,Pune APMC,Chilly Capsicum,Other,Local,01/03/2026,2000.0,4500.0,3250.0
Maharashtra,Pune,Pune APMC,Ridgeguard(Tori),Other,Local,01/03/2026,2000.0,4000.0,3000.0
Maharashtra,Pune,Pune APMC,Brinjal,Other,Local,01/03/2026,1400.0,4500.0,2950.0
Maharashtra,Pune,Pune(Moshi) APMC,Jack Fruit(Ripe),Other,Local,01/03/2026,3000.0,3000.0,3000.0
Maharashtra,Pune,Pune(Moshi) APMC,Potato,Local,Local,01/03/2026,700.0,1000.0,850.0
Maharashtra,Pune,Pune(Moshi) APMC,Bhindi(Ladies Finger),Other,Local,01/03/2026,3000.0,4000.0,3500.0
Maharashtra,Pune,Pune(Moshi) APMC,Beans,Other,Local,01/03/2026,2500.0,3000.0,2750.0
Maharashtra,Pune,Pune(Moshi) APMC,Mango(Raw-Ripe),Other,Local,01/03/2026,5000.0,5000.0,5000.0
Maharashtra,Pune,Pune(Moshi) APMC,Onion Green,Other,Local,01/03/2026,15.0,15.0,15.0
Maharashtra,Pune,Pune(Moshi) APMC,Bitter gourd,Other,Local,01/03/2026,2500.0,3000.0,2750.0
Maharashtra,Pune,Pune(Moshi) APMC,Garlic,Other,Local,01/03/2026,4000.0,8000.0,6000.0
Maharashtra,Pune,Pune(Moshi) APMC,Spinach,Other,Local,01/03/2026,10.0,10.0,10.0
Maharashtra,Pune,Pune(Moshi) APMC,Drumstick,Other,Local,01/03/2026,7000.0,8000.0,7500.0
Maharashtra,Pune,Pune(Moshi) APMC,Little gourd(Kundru),Other,Local,01/03/2026,4000.0,4000.0,4000.0
Maharashtra,Satara,Satara APMC,Bottle gourd,Other,Local,01/03/2026,1000.0,2000.0,1500.0
Maharashtra,Satara,Satara APMC,Bitter gourd,Other,Local,01/03/2026,3000.0,4000.0,3500.0
Maharashtra,Sholapur,Mangal Wedha APMC,Onion,Local,Local,01/03/2026,400.0,1000.0,900.0
Uttar Pradesh,Fatehpur,Fatehpur APMC,Tomato,Deshi,FAQ,01/03/2026,1200.0,1210.0,1205.0
Uttar Pradesh,Jalaun (Orai),Jalaun APMC,Bitter gourd,Bitter Gourd,FAQ,01/03/2026,4000.0,4000.0,4000.0
Uttar Pradesh,Jalaun (Orai),Jalaun APMC,Green Chilli,Green Chilly,FAQ,01/03/2026,6000.0,6000.0,6000.0
Uttar Pradesh,Baghpat,Khekda APMC,Leafy Vegetable,Leafy Vegetables,FAQ,01/03/2026,500.0,500.0,500.0
Uttar Pradesh,Baghpat,Khekda APMC,Tomato,Deshi,FAQ,01/03/2026,1200.0,1200.0,1200.0
Punjab,Mohali,Banur APMC,Cauliflower,Other,Local,01/03/2026,2200.0,2200.0,2200.0
Punjab,Mohali,Banur APMC,Coriander(Leaves),Other,Local,01/03/2026,1500.0,1500.0,1500.0
Uttar Pradesh,Balrampur,Panchpedwa APMC,Wheat,Dara,FAQ,01/03/2026,2450.0,2550.0,2500.0
Uttar Pradesh,Balrampur,Panchpedwa APMC,Paddy(Common),Paddy,FAQ,01/03/2026,2250.0,2350.0,2300.0
Uttar Pradesh,Hathras,Shadabad APMC,Tomato,Tomato,Small,01/03/2026,1100.0,1200.0,1150.0
Uttar Pradesh,Bulandshahar,Siyana APMC,Brinjal,Other,Medium,01/03/2026,1105.0,1120.0,1110.0
Uttar Pradesh,Bulandshahar,Siyana APMC,Green Chilli,Green Chilly,Medium,01/03/2026,2200.0,2220.0,2205.0
Uttar Pradesh,Bulandshahar,Siyana APMC,Tomato,Tomato,Medium,01/03/2026,1100.0,1120.0,1110.0
Tripura,Dhalai,Kulai APMC,Bottle gourd,Bottle Gourd,Grade B,01/03/2026,2000.0,3000.0,2500.0
Tripura,Sepahijala,Sonamura APMC,Cauliflower,Cauliflower,Medium,01/03/2026,1900.0,2100.0,2000.0
Tripura,Sepahijala,Sonamura APMC,Potato,Other,Medium,01/03/2026,1200.0,1400.0,1300.0
West Bengal,Kolkata,Sealdah Koley Market APMC,Sweet Potato,Other,FAQ,01/03/2026,3800.0,4200.0,4000.0
West Bengal,Kolkata,Sealdah Koley Market APMC,Cabbage,Other,FAQ,01/03/2026,1500.0,2000.0,1500.0
West Bengal,North 24 Parganas,Habra APMC,Potato,Jyoti,FAQ,01/03/2026,800.0,800.0,800.0
West Bengal,Bankura,Khatra APMC,Brinjal,Round/Long,Medium,01/03/2026,2000.0,2500.0,2200.0
West Bengal,Bankura,Khatra APMC,Potato,Jyoti,Non-FAQ,01/03/2026,680.0,750.0,720.0
West Bengal,Bankura,Khatra APMC,Sweet Pumpkin,Sweet Pumpkin,Local,01/03/2026,2000.0,2700.0,2400.0
West Bengal,Darjeeling,Karsiyang(Matigara) APMC,Potato,Red,FAQ,01/03/2026,1900.0,2100.0,2000.0
West Bengal,Uttar Dinajpur,Raiganj APMC,Cabbage,Cabbage,FAQ,01/03/2026,1200.0,1300.0,1250.0
Madhya Pradesh,Raisen,Udaipura APMC,Paddy(Common),Paddy,FAQ,01/03/2026,4300.0,4300.0,4300.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Bottle gourd,Bottle Gourd,Local,01/03/2026,2000.0,2400.0,2200.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,01/03/2026,4000.0,4500.0,4250.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Cowpea(Veg),Cowpea (Veg),Local,01/03/2026,2200.0,2500.0,2350.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Beans,Beans (Whole),Local,01/03/2026,4000.0,4600.0,4300.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Beetroot,Beetroot,Local,01/03/2026,3000.0,3800.0,3400.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Raddish,Raddish,Local,01/03/2026,2000.0,2500.0,2250.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Thondekai,Thondekai,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Green Avare(W),Green Avare (W),Local,01/03/2026,2800.0,3200.0,3000.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01/03/2026,2800.0,3200.0,3000.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Tomato,Other,Local,01/03/2026,1400.0,2000.0,1700.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Bitter gourd,Other,Local,01/03/2026,2400.0,3000.0,2700.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Coconut,Coconut,Local,01/03/2026,3500.0,6000.0,4750.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Sweet Potato,Hosur Red,Local,01/03/2026,3600.0,4000.0,3800.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Lemon,Lemon,Local,01/03/2026,9000.0,10000.0,9500.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Bitter gourd,Bitter Gourd,Local,01/03/2026,5500.0,6000.0,5750.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Carrot,Pusakesar,Local,01/03/2026,5000.0,5000.0,5000.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,5500.0,6000.0,5750.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Green Avare(W),Green Avare (W),Local,01/03/2026,6000.0,7000.0,6500.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Mango(Raw-Ripe),Mango - Raw-Ripe,Local,01/03/2026,6000.0,7000.0,6500.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Tender Coconut,Tender Coconut,Local,01/03/2026,2000.0,2500.0,2250.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,4000.0,4500.0,4250.0
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Banana,Besrai,Local,01/03/2026,3800.0,4000.0,3900.0
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Pumpkin,Pumpkin,Local,01/03/2026,2200.0,2500.0,2350.0
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Green Chilli,Green Chilly,Local,01/03/2026,3800.0,4000.0,3900.0
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Snakeguard,Snakeguard,Local,01/03/2026,3000.0,3200.0,3100.0
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Drumstick,Drumstick,Local,01/03/2026,9000.0,9800.0,9400.0
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Mango(Raw-Ripe),Mango - Raw-Ripe,Local,01/03/2026,3800.0,4000.0,3900.0
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Bitter gourd,Bitter Gourd,Local,01/03/2026,5500.0,6000.0,5750.0
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,4500.0,5500.0,5000.0
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Chow Chow,Chow Chow,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Banana,Karpura,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Banana,Besrai,Local,01/03/2026,3000.0,7000.0,5000.0
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,01/03/2026,5000.0,5000.0,5000.0
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Ginger(Green),Green Ginger,Local,01/03/2026,8000.0,8000.0,8000.0
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,01/03/2026,2000.0,2000.0,2000.0
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Guava,Guava Allahabad,Local,01/03/2026,5500.0,6000.0,5750.0
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ) APMC,Yam(Ratalu),Yam (Ratalu),Local,01/03/2026,4000.0,5000.0,4500.0
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,4000.0,4000.0,4000.0
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Mango(Raw-Ripe),Mango - Raw-Ripe,Local,01/03/2026,7000.0,7000.0,7000.0
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Guava,Guava Allahabad,Local,01/03/2026,6000.0,6000.0,6000.0
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,01/03/2026,4000.0,4000.0,4000.0
Tamil Nadu,Thiruvarur,Tiruvarur(Uzhavar Sandhai ) APMC,Banana,Poovan,Local,01/03/2026,5000.0,5000.0,5000.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Potato,Red Nanital,Local,01/03/2026,2600.0,3200.0,2900.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Brinjal,Other,Local,01/03/2026,2000.0,2200.0,2100.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Bottle gourd,Bottle Gourd,Local,01/03/2026,1000.0,1500.0,1250.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,2500.0,4000.0,3250.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Green Chilli,Green Chilly,Local,01/03/2026,4000.0,5000.0,4500.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,4000.0,5000.0,4500.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Thondekai,Thondekai,Local,01/03/2026,5000.0,6000.0,5500.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Green Avare(W),Other,Local,01/03/2026,3000.0,3600.0,3300.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Guava,Guava Allahabad,Local,01/03/2026,6000.0,7000.0,6500.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Yam(Ratalu),Yam (Ratalu),Local,01/03/2026,6000.0,6500.0,6250.0
Tamil Nadu,Coimbatore,Udumalpet APMC,Onion,Bellary,Local,01/03/2026,2500.0,3000.0,2750.0
